RefseqId	GeneId	Chrom	TxStart	TxEnd	Strand	RpkmCondition1	RpkmCondition2	baseMean	log2FoldChange	pvalue	padj	'-LOG10(pval)'	'-LOG10(padj)'
NM_001001565,NM_001001566	Chpf	chr1	75474568	75479471	-	1.07e+01	1.19e+01	621.548410517027	-0.067794101843387	0.884681073908756	0.999926082898195	5.32e-02	3.21e-05
NM_001001809	Olfr218	chr1	173203357	173204299	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001001880,NM_001083897,NM_001347128	Mpzl1	chr1	165592180	165634541	-	3.74e-02	8.70e-01	17.0927106167889	-4.51653628879969	0.000527251211466935	0.0270532826844388	3.28e+00	1.57e+00
NM_001001883,NM_172655	Hecw2	chr1	53806873	54195034	-	8.14e-03	1.95e-02	2.72374634566177	-1.08309110183206	0.666473688827765	1	1.76e-01	0.00e+00
NM_001001981,NM_001136226	Utp14b	chr1	78657824	78667601	+	1.11e+00	1.11e+00	72.9901930889711	0.113930442946406	0.855996891795942	0.999926082898195	6.75e-02	3.21e-05
NM_001003917,NM_001288612,NM_001288613,NR_109938	Atg9a	chr1	75180860	75192010	-	1.12e+01	1.51e+01	900.143660054037	-0.324650148909809	0.496285604907344	0.999926082898195	3.04e-01	3.21e-05
NM_001003948	Pid1	chr1	84036292	84284645	-	3.02e-01	3.18e-01	14.7527335558277	0.0571544529996745	0.960035197910258	0.999926082898195	1.77e-02	3.21e-05
NM_001004173	Sgpp2	chr1	78310345	78420286	+	2.91e-01	1.60e-01	15.9354450036769	0.941108640240726	0.423218087214723	0.999926082898195	3.73e-01	3.21e-05
NM_001005423,NM_001357488	Mreg	chr1	72159232	72212307	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001005507,NM_001160256,NM_001160257,NM_001359257	Smg7	chr1	152836994	152902646	-	3.39e+01	2.84e+01	3227.25160578303	0.370939679142941	0.38305361790878	0.999926082898195	4.17e-01	3.21e-05
NM_001005508	Arhgap30	chr1	171388959	171410239	+	9.88e+01	1.16e+02	8528.80896359163	-0.133806834089804	0.744132752572559	0.999926082898195	1.28e-01	3.21e-05
NM_001005520	Olfr231	chr1	174117090	174118014	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001008419	Aox2	chr1	58278325	58379264	+	3.34e-02	0.00e+00	1.46380272698823	3.97650728515463	0.266846933937722	1	5.74e-01	0.00e+00
NM_001008426	Teddm1b	chr1	153874344	153876871	+	9.01e-03	1.42e-02	0.52458536734806	-0.318459305321337	0.948784395417697	1	2.28e-02	0.00e+00
NM_001008533,NM_001039510,NM_001282945,NM_001291928,NM_001291930	Adora1	chr1	134199214	134235457	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001009940,NM_001355135	Il19	chr1	130932655	130940115	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001011525	Olfr1415	chr1	92490817	92491753	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001011684,NM_001311788	Nms	chr1	38939148	38950276	+	2.33e-02	0.00e+00	0.216391323610704	1.33732002476953	0.788669263383526	1	1.03e-01	0.00e+00
NM_001011873	Xkr9	chr1	13668770	13701723	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001011874	Xkr4	chr1	3214481	3671498	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001012322,NM_001311077	Sctr	chr1	120006979	120063532	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001012330,NM_001355098,NM_001355099,NM_001355100,NM_001355101,NM_001355102,NM_001355103,NM_013915	Zbtb18	chr1	177444660	177450764	+	1.07e+01	1.08e+01	751.242935464224	0.112603813555566	0.790455285608172	0.999926082898195	1.02e-01	3.21e-05
NM_001012623,NM_001012624,NM_001012625,NM_053270,NM_183018	Rims1	chr1	22285972	22806003	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001013025,NM_001357299	Tgfbrap1	chr1	43047199	43098628	-	1.18e+01	9.45e+00	994.542569259672	0.424727192394207	0.3408327494393	0.999926082898195	4.67e-01	3.21e-05
NM_001013374,NM_001310517	Lman2l	chr1	36423185	36445271	-	7.23e+00	5.95e+00	265.213449577099	0.391296438625278	0.405458156175855	0.999926082898195	3.92e-01	3.21e-05
NM_001013382	Lrrc52	chr1	167445674	167466780	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001013750	Gm597	chr1	28776121	28780252	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001013771,NM_001357842	Gm973	chr1	59516263	59634509	+	4.53e-02	2.21e-01	8.16538511141713	-2.1998583715152	0.131158774648425	0.999926082898195	8.82e-01	3.21e-05
NM_001013779	Aim2	chr1	173420603	173466036	+	1.19e+01	5.94e+00	409.318964218724	1.12538080101758	0.0278430368830524	0.481461646135391	1.56e+00	3.17e-01
NM_001013799	Mettl21c	chr1	44009407	44020006	-	1.68e-01	1.00e-01	2.60928457620841	0.836582064335806	0.721157917349635	1	1.42e-01	0.00e+00
NM_001013817	Sp140	chr1	85600702	85645036	+	8.99e+00	1.30e+01	469.404917106904	-0.422020830659537	0.338650376568779	0.999926082898195	4.70e-01	3.21e-05
NM_001014974	Ttll4	chr1	74661701	74701832	+	1.04e+01	1.04e+01	1506.66327126054	0.0984411961730377	0.842979183745965	0.999926082898195	7.42e-02	3.21e-05
NM_001024720	Hmcn1	chr1	150562501	150993435	-	7.46e-03	0.00e+00	1.29834794166422	3.81263681604758	0.361024995375117	1	4.42e-01	0.00e+00
NM_001024721	Ifi214	chr1	173521310	173535957	-	1.06e+01	1.46e+01	288.871019935035	-0.348344992400927	0.469088459990995	0.999926082898195	3.29e-01	3.21e-05
NM_001024945,NM_023268	Qsox1	chr1	155778154	155812899	-	1.69e+01	2.31e+01	934.93557310297	-0.34963353117045	0.456960068370354	0.999926082898195	3.40e-01	3.21e-05
NM_001024952	Rc3h1	chr1	160906410	160974976	+	8.53e+00	8.41e+00	1660.47033002759	0.135960988538759	0.752991760350614	0.999926082898195	1.23e-01	3.21e-05
NM_001025156,NM_029955	Ccdc93	chr1	121431066	121506460	+	8.33e+00	9.38e+00	1139.48060639573	-0.0597855270272642	0.885102081602126	0.999926082898195	5.30e-02	3.21e-05
NM_001025305,NM_001286340,NM_009334	Tfap2b	chr1	19212053	19238845	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001025378,NM_001271526,NM_008765	Orc2	chr1	58462770	58501426	-	9.78e+00	1.14e+01	663.839410277851	-0.120971608981855	0.800256501581171	0.999926082898195	9.68e-02	3.21e-05
NM_001025565,NM_001042577,NM_010714	Lhx9	chr1	138825185	138842444	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001025570,NM_011127,NM_175686	Prrx1	chr1	163255276	163313650	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001025575	Cfhr2	chr1	139810291	139858699	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001025602,NM_001294171,NM_010743	Il1rl1	chr1	40439628	40465414	+	3.15e-02	1.23e-01	7.08448068695828	-1.88872284010499	0.223793086985891	0.999926082898195	6.50e-01	3.21e-05
NM_001029878	Lonrf2	chr1	38793668	38836687	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001029977,NM_001160303,NM_001160304	Gm4788	chr1	139697918	139781239	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001029984	Fcrlb	chr1	170907272	170912941	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001033039	Klhdc9	chr1	171358448	171360798	-	2.93e-02	3.87e-02	0.947942184916137	-0.220133830291395	0.955592398453863	1	1.97e-02	0.00e+00
NM_001033041	Acmsd	chr1	127729412	127767564	+	0.00e+00	1.56e-02	0.308194043737356	-1.71499275149384	0.729839590610572	1	1.37e-01	0.00e+00
NM_001033135	Rnf149	chr1	39551295	39577347	-	1.51e+01	1.45e+01	637.602569607658	0.164914032726692	0.704113268927396	0.999926082898195	1.52e-01	3.21e-05
NM_001033162	Shcbp1l	chr1	153425208	153452574	+	9.65e-02	1.36e-01	4.21477436801532	-0.363971070443843	0.847395805651093	1	7.19e-02	0.00e+00
NM_001033185,NM_001347138	Ccdc190	chr1	169928938	169934653	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001033194	Gtf3c3	chr1	54395876	54439026	-	4.73e+00	6.59e+00	476.577438496329	-0.363437181048265	0.41315662776549	0.999926082898195	3.84e-01	3.21e-05
NM_001033250,NM_001311102,NM_001311103,NM_001311104,NR_132336	Lemd1	chr1	132191435	132257382	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001033284,NM_001356418,NM_001356419	Cryzl2	chr1	157458567	157489062	+	3.86e-01	5.44e-01	12.0818567837909	-0.672933124879245	0.594579232749736	0.999926082898195	2.26e-01	3.21e-05
NM_001033285,NM_001346804,NM_001346805,NM_001359541,NM_001359542,NM_001359543,NM_001359544,NM_001359545,NM_001359546,NM_001359547,NM_001359548,NM_001359549,NR_153194	Cdc42bpa	chr1	179961088	180165602	+	1.43e-01	1.19e-01	20.4638610482538	0.388480010165734	0.681141809855853	0.999926082898195	1.67e-01	3.21e-05
NM_001033286	Slc30a10	chr1	185454847	185468761	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001033288	Sbspon	chr1	15853861	15892722	-	1.49e-01	7.42e-02	5.49016992277674	1.13522994739831	0.522564584310471	1	2.82e-01	0.00e+00
NM_001033289	Slc9a2	chr1	40681711	40768885	+	8.70e-03	1.39e-02	0.685473906633454	-0.68284847085704	0.889071894702417	1	5.11e-02	0.00e+00
NM_001033290	Gpr55	chr1	85939536	85961055	-	2.50e-01	9.95e-02	8.02158600290924	1.42354386926809	0.320116322771986	0.999926082898195	4.95e-01	3.21e-05
NM_001033291,NM_001198573	Usp40	chr1	87945120	88008551	-	3.33e+00	4.63e+00	370.250876132518	-0.380819901857497	0.449821315917513	0.999926082898195	3.47e-01	3.21e-05
NM_001033292	Espnl	chr1	91322074	91348303	+	1.54e-02	1.26e-01	6.61967238645529	-2.9573282400547	0.101330810541298	1	9.94e-01	0.00e+00
NM_001033344,NM_001160049	Dusp27	chr1	166098147	166127898	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001033345	Catip	chr1	74362107	74369321	+	1.08e-02	6.29e-02	1.34793894878015	-2.24792660250429	0.521447913501924	1	2.83e-01	0.00e+00
NM_001033373,NM_001356389	Cdk15	chr1	59256905	59352496	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001033408	Rbm44	chr1	91145102	91170795	+	3.08e-01	4.77e-01	26.677451338712	-0.510149309606486	0.556257463567062	0.999926082898195	2.55e-01	3.21e-05
NM_001033409	Lgr6	chr1	134986352	135105276	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001033427	Lyg2	chr1	37905922	37916493	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001033449,NM_001037812,NM_001361413	Tmem237	chr1	59100583	59120096	-	1.25e+00	1.23e+00	41.1150770751396	0.147925939985678	0.841957068172709	0.999926082898195	7.47e-02	3.21e-05
NM_001033450,NM_001301745	Ifi211	chr1	173896340	173913046	-	2.55e-02	1.62e+00	24.9559394839714	-5.74080412767805	0.000538528954034864	0.0273927065364054	3.27e+00	1.56e+00
NM_001033499	Sh2d1b2	chr1	170232870	170251587	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001033547	Ccdc185	chr1	182747125	182749180	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001033606,NM_001136222,NM_028817	Acsl3	chr1	78657824	78707743	+	4.11e+00	3.94e+00	260.131086021817	0.150791607310316	0.756235063435535	0.999926082898195	1.21e-01	3.21e-05
NM_001033636,NM_029525	Prex2	chr1	11263962	11303682	+	3.66e-02	3.25e-03	3.50312735961122	3.56904002120396	0.151979919267255	1	8.18e-01	0.00e+00
NM_001033764	4931408C20Rik	chr1	26681800	26687460	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001033819	9130409I23Rik	chr1	181051236	181060667	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001033904	Khdc1c	chr1	21368330	21369743	+	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
NM_001034060,NM_001170641	Rufy4	chr1	74125540	74148223	+	1.91e-01	1.04e-01	6.12986021231432	0.956729291239738	0.55281508963373	1	2.57e-01	0.00e+00
NM_001034899,NM_001368822,NR_155538,NR_160909	Catspere2	chr1	177991434	178048291	+	7.90e-02	0.00e+00	2.44388626846837	4.70963970567358	0.15566303939204	1	8.08e-01	0.00e+00
NM_001037136,NM_178119	Agap1	chr1	89454810	89895282	+	3.23e-03	5.35e-02	4.5907679254391	-4.09361862456235	0.0823051141877689	1	1.08e+00	0.00e+00
NM_001037170	Tomm40l	chr1	171217802	171222514	-	9.39e+00	1.30e+01	573.536907603746	-0.368546338675431	0.43044597977126	0.999926082898195	3.66e-01	3.21e-05
NM_001037725	Fam117b	chr1	59913005	59985348	+	1.34e+01	1.31e+01	1303.07191613036	0.142215792339324	0.742516893976702	0.999926082898195	1.29e-01	3.21e-05
NM_001037726,NM_009952,NM_133828	Creb1	chr1	64532803	64604548	+	1.51e+01	1.27e+01	2088.39436069343	0.380130301565956	0.469049285912729	0.999926082898195	3.29e-01	3.21e-05
NM_001037742,NM_001302962,NM_001302963,NM_001302964	Tyw5	chr1	57388243	57406674	-	5.49e+00	4.78e+00	128.55308058621	0.326693319910242	0.548800593554491	0.999926082898195	2.61e-01	3.21e-05
NM_001037759,NM_133220,NM_177547	Sgk3	chr1	9848280	9902568	+	6.82e+00	3.54e+00	506.246563116602	1.06775640597394	0.0249946596816869	0.447693980578996	1.60e+00	3.49e-01
NM_001037909,NM_175219	C130026I21Rik	chr1	85246343	85270566	-	0.00e+00	0.00e+00	0	0	1	1	0.00e+00	0.00e+00
